baseline,metric,mean,ci_95,min,max,n
adaptive,p99_latency,0.03315021485741733,0.00023796290263103226,0.032615158424950726,0.03361392913013148,10
adaptive,p999_latency,0.03934850791035139,0.00012535117572564126,0.039101151841398285,0.039580466738780844,10
adaptive,p95_latency,0.028057469542559686,8.650578050084683e-05,0.027886868685136786,0.028271278076621442,10
adaptive,p50_latency,0.016234320083915853,5.4332074146817864e-05,0.016115853474225617,0.016386391693515634,10
adaptive,avg_latency,0.016695722719756435,5.5359297392045075e-05,0.016580515020660616,0.016838299745909124,10
adaptive,max_latency,0.19503410754868664,0.011862886242529994,0.17806633524877213,0.2389322382687702,10
adaptive,tail_ratio,2.0419490698906864,0.00938212538557515,2.0169971716686232,2.061563459361946,10
adaptive,throughput,2560.0423529411764,3.252085343917734,2552.0588235294117,2565.176470588235,10
adaptive,goodput,2559.165882352941,3.251338103909103,2551.164705882353,2564.294117647059,10
adaptive,slo_violation_rate,0.0003423659194268084,8.523346349399762e-06,0.00032226432119624517,0.0003589639747436629,10
adaptive,affected_ratio,0.023027146300460037,6.09416619560117e-05,0.022934193845799238,0.02320523115750832,10
fixed_isolation,p99_latency,0.03315021485741733,0.00023796290263103226,0.032615158424950726,0.03361392913013148,10
fixed_isolation,p999_latency,0.03934850791035139,0.00012535117572564126,0.039101151841398285,0.039580466738780844,10
fixed_isolation,p95_latency,0.028057469542559693,8.650578050084683e-05,0.027886868685136786,0.028271278076621442,10
fixed_isolation,p50_latency,0.016234320083915853,5.4332074146817864e-05,0.016115853474225617,0.016386391693515634,10
fixed_isolation,avg_latency,0.016695722719756435,5.5359297392045075e-05,0.016580515020660616,0.016838299745909124,10
fixed_isolation,max_latency,0.19503410754868664,0.011862886242529994,0.17806633524877213,0.2389322382687702,10
fixed_isolation,tail_ratio,2.041949069890686,0.00938212538557515,2.0169971716686232,2.061563459361946,10
fixed_isolation,throughput,2560.0423529411764,3.252085343917734,2552.0588235294117,2565.176470588235,10
fixed_isolation,goodput,2559.165882352941,3.251338103909103,2551.164705882353,2564.294117647059,10
fixed_isolation,slo_violation_rate,0.0003423659194268084,8.523346349399762e-06,0.00032226432119624517,0.0003589639747436629,10
fixed_isolation,affected_ratio,0.023027146300460037,6.094166195601171e-05,0.022934193845799238,0.02320523115750832,10
fixed_shedding,p99_latency,0.03639721857923643,0.0019033981584447481,0.03316625195693245,0.03994045367322055,10
fixed_shedding,p999_latency,0.10436331879051278,0.02925088689380225,0.05059401227731968,0.1387785663349623,10
