baseline,run_id,seed,elapsed_sec,total,avg_latency,p50_latency,p95_latency,p99_latency,p999_latency,max_latency,tail_ratio,throughput,goodput,slo_violation_rate,hedge_count,affected_ratio
no_mitigation,8,50,23.445467233657837,217968,0.01874224734711343,0.01620290396542412,0.029403928673065138,0.1266774332633771,0.19128858155587497,0.2617034463586947,7.818193179055928,2564.329411764706,2512.0,0.020406665198561255,0,0.04326323130000734
no_mitigation,9,51,23.5438973903656,217259,0.018510879958340363,0.016009529140518453,0.029138782428451252,0.12442107965882702,0.18893507703496595,0.24586157822425037,7.7716888839616285,2555.9882352941177,2504.0588235294117,0.02031676478304696,0,0.04353789716421414
no_mitigation,6,48,23.603821516036987,216561,0.018446483066197537,0.015939973247142802,0.029050729658152363,0.1247521457421697,0.18860198817865903,0.26920448441414635,7.826371086572005,2547.7764705882355,2495.823529411765,0.020391483231052682,0,0.04333190186598695
no_mitigation,1,43,23.660016775131226,217475,0.018662850582345934,0.016120334153583826,0.02931443523502466,0.125244797006986,0.1917140951415466,0.28100633015789356,7.7693672980806,2558.529411764706,2506.1529411764704,0.02047131854236119,0,0.04355443154385562
no_mitigation,3,45,23.69960594177246,217928,0.01862389810129883,0.016099359851917683,0.029158889920636,0.1268457051615951,0.1921366071065369,0.24513895931252705,7.878928499538186,2563.858823529412,2511.6117647058823,0.020378290077456774,0,0.04341800961785544
no_mitigation,2,44,23.72250270843506,217228,0.01854150051099694,0.01604249753871745,0.02913914128625272,0.12437066267095584,0.18818885657150664,0.24867079072516418,7.752574832615428,2555.6235294117646,2503.470588235294,0.020407129835932753,0,0.04376507632533559
no_mitigation,7,49,23.70088505744934,218226,0.018642833173131448,0.01616560781799592,0.029187977126376552,0.12600984870165632,0.18815271581788487,0.2494268604470804,7.794934166433217,2567.364705882353,2515.1882352941175,0.020322967932327036,0,0.04354201607507813
no_mitigation,0,42,23.935750722885132,217776,0.018536565726440482,0.016036422565720798,0.029155419773300828,0.12476821831094576,0.18665526262771767,0.2490513279044535,7.780302483276309,2562.070588235294,2509.929411764706,0.02035118654029829,0,0.04356311071927118
no_mitigation,4,46,23.992445468902588,217709,0.018599236219853238,0.01612404091810049,0.029267474630725567,0.12372400610836072,0.1893641598986816,0.24296044559667962,7.673262970293687,2561.2823529411767,2509.6470588235293,0.020159938266217748,0,0.04373268904822492
no_mitigation,5,47,24.082706689834595,217766,0.018638796969413948,0.016095802045256846,0.02928190454570334,0.12634279165212847,0.19008950226433435,0.2473083995795946,7.849425042435801,2561.9529411764706,2509.835294117647,0.020342936913935142,0,0.043551334919133385
fixed_speculation,0,42,24.105705976486206,217881,0.016641173565893803,0.016171486557659875,0.027887314432831545,0.032698420105298026,0.03999255147106925,0.1875645880088861,2.0219798587291846,2563.3058823529414,2561.3764705882354,0.0007527044579380488,37,0.023600038553155164
fixed_speculation,1,43,24.321898698806763,216975,0.01655469091369166,0.01596742079126301,0.027981647150868125,0.033490962927063,0.0638166903489969,0.17994551366566824,2.0974560240429345,2552.6470588235293,2547.235294117647,0.002120059914736721,44,0.02785113492337827
fixed_speculation,8,50,24.270451068878174,217996,0.01684641291187649,0.01636436697618926,0.02824751534806813,0.03362004652318543,0.04229388275348468,0.19114371877500247,2.054466669691764,2564.6588235294116,2562.4470588235295,0.0008624011449751372,35,0.02357841428283088
fixed_speculation,3,45,24.350749015808105,217545,0.01731927424172518,0.016264672695520233,0.028382083630350507,0.03600181938963202,0.17066837612847038,0.23477828324294592,2.2134979328263995,2559.3529411764707,2545.247058823529,0.005511503367119447,49,0.02827460985083546
fixed_speculation,4,46,24.442374229431152,217501,0.01665030437110105,0.016148032895955566,0.028022231800996167,0.033068618558647955,0.05000000000000071,0.18882559393627218,2.047841911873385,2558.835294117647,2556.2,0.0010298803223893224,28,0.025788387179829057
fixed_speculation,7,49,24.42926526069641,218095,0.016771108233979697,0.016191428077974024,0.028140751946425267,0.0335191457038298,0.08068127678947352,0.19631641756943985,2.070178463716088,2565.823529411765,2561.8705882352942,0.0015406130356037506,32,0.026240858341548406
fixed_speculation,5,47,24.450212478637695,217724,0.0167722744000259,0.01626403300344137,0.028180190129763683,0.0338618522544442,0.04421888436638688,0.1958187152761255,2.082008333804982,2561.458823529412,2559.247058823529,0.0008634785324539325,27,0.023589498631294666
