baseline,metric,mean,ci_95,min,max,n
adaptive,p99_latency,0.03758142855881079,0.00019911924424935286,0.036927173000943704,0.03831491439785994,20
adaptive,p999_latency,0.060617307067660685,0.006169669972489461,0.04769993989437878,0.09355828932713381,20
adaptive,p95_latency,0.03032372505363114,0.00024304741839085268,0.029819156824318325,0.031646136845737166,20
adaptive,p50_latency,0.018003175625889312,6.684190775611589e-05,0.017762368991377286,0.01834775024467561,20
adaptive,avg_latency,0.018640359632785382,8.393520490238898e-05,0.018342493071611406,0.019046375960270392,20
adaptive,max_latency,0.19064911110566546,0.01041699082445775,0.15046385161361187,0.2300376573232601,20
adaptive,tail_ratio,2.0875379220902515,0.010467844951362864,2.04522824880573,2.129404092325913,20
adaptive,throughput,2559.9963636363636,2.8782270386695363,2548.890909090909,2569.1454545454544,20
adaptive,goodput,2556.425454545454,2.6154853811272902,2545.981818181818,2566.072727272727,20
adaptive,slo_violation_rate,0.0013942406420734714,0.000285237060560273,0.0008495334645390573,0.002968725644404767,20
adaptive,affected_ratio,0.014484830256874717,0.0012105734402412937,0.012080441359672539,0.018580083005275035,20
fixed_isolation,p99_latency,0.037566366809495357,0.0001925319420085652,0.036927173000943704,0.03827614279057017,20
fixed_isolation,p999_latency,0.06007057868289719,0.006058992790926043,0.04769993989437878,0.0926704460436267,20
fixed_isolation,p95_latency,0.030338350881001945,0.0002523426713829226,0.029819156824318325,0.031646136845737166,20
fixed_isolation,p50_latency,0.01800981193939346,7.156492280091895e-05,0.017762368991377286,0.01834775024467561,20
fixed_isolation,avg_latency,0.018647796915965777,8.856262977176247e-05,0.018342493071611406,0.019046375960270392,20
fixed_isolation,max_latency,0.19064911110566546,0.01041699082445775,0.15046385161361187,0.2300376573232601,20
fixed_isolation,tail_ratio,2.085933883481722,0.009707341309804116,2.04522824880573,2.1220374947179264,20
fixed_isolation,throughput,2559.9454545454546,2.883722552614866,2548.890909090909,2568.6,20
fixed_isolation,goodput,2556.430909090909,2.6533042936055273,2545.981818181818,2566.072727272727,20
fixed_isolation,slo_violation_rate,0.001372280013518859,0.00030563915788717585,0.0008495334645390573,0.003470082927900175,20
fixed_isolation,affected_ratio,0.014241510904383286,0.0011579263440824005,0.012080441359672539,0.018580083005275035,20
fixed_shedding,p99_latency,0.05962118443600726,0.010078105694748991,0.03728885158522603,0.12380194304813202,20
fixed_shedding,p999_latency,0.1137898665189954,0.012298490021583584,0.05701156169743665,0.17077557418924336,20
fixed_shedding,p95_latency,0.0303488300117458,0.00043687945297578805,0.029538190873090286,0.03374737285390665,20
fixed_shedding,p50_latency,0.017365265802280684,0.00017694233896725048,0.016728529897385158,0.018014022717469658,20
fixed_shedding,avg_latency,0.01860497820113189,0.0002832894827988618,0.01787108537014962,0.02084283122387991,20
fixed_shedding,max_latency,0.20246657890281342,0.007752257612051202,0.1731749238238578,0.23435959563374809,20
fixed_shedding,tail_ratio,3.4407700696905694,0.5798873246593698,2.0883145857900383,6.946835253362648,20
fixed_shedding,throughput,2558.2427272727273,3.6658387643253625,2544.3454545454547,2572.4545454545455,20
fixed_shedding,goodput,2527.9472727272723,8.411028848100067,2497.6363636363635,2561.3636363636365,20
fixed_shedding,slo_violation_rate,0.011838176837645981,0.0032662114860538397,0.001368134516686988,0.027472876983425806,20
fixed_shedding,affected_ratio,0.03352069471847197,0.004740778650849245,0.01677468818105021,0.04699559083518528,20
fixed_speculation,p99_latency,0.04689707835353323,0.011076767111041394,0.03694715500709705,0.12380194304813202,20
fixed_speculation,p999_latency,0.08908646801530082,0.014578528645951253,0.05288800865000851,0.17077557418924336,20
fixed_speculation,p95_latency,0.03045696682973188,0.0005398863453341078,0.02960556590003733,0.03374737285390665,20
